release,feature,Mean LOC,Normalized Mean LOC
2020-12,EMF,12.657515011547344,86.2466372856114
2020-12,GEF,7.759822960888808,14.863712226762788
2020-12,GMF Runtime,9.106242539147532,50.79896377350841
2020-12,JDT,19.493752316408113,45.87353104914633
2020-12,m2e,8.637179953889092,79.48944011228505
2020-12,Mylyn,8.69065179588655,43.45136572578549
2020-12,PDE,10.130344349433788,99.1442395553805
2020-12,PTP,8.369786777524475,0.03358143444659626
2020-12,RAP,8.781834259727136,72.38253319545377
2020-12,Scout,7.197724120361197,2.989452638726732
2020-12,Subversive,12.47438044206296,99.63208799071185
2020-12,WebTools,7.7576149711327895,0.05238991133863756
2020-12,Window Builder,13.05952021104119,8.75302507550989
2021-03,BIRT,13.181915125136017,100.0
2021-03,CDT,9.999678173743268,58.489599477498054
2021-03,CVS,9.658558667310478,32.59421011059267
2021-03,DataTools,9.937994535713019,63.642329539048895
2021-03,EclipseLink,9.020884982987672,79.69591851804809
2021-03,EGit,12.545389344262295,72.90418313452234
2021-03,EMF,12.657718244803695,86.30414762670479
2021-03,GEF,7.759822960888808,14.863712226762788
2021-03,GMF Runtime,9.106375509057717,51.54505448220414
2021-03,JDT,19.4881728391797,45.02895164653562
2021-03,m2e,8.634820562560622,79.36096776109838
2021-03,Mylyn,8.69065179588655,43.45136572578549
2021-03,PDE,10.127593271200624,99.11731514393148
2021-03,PTP,8.369786777524475,0.03358143444659626
2021-03,RAP,8.783884480181868,73.14878570172368
2021-03,Scout,7.206612270250431,3.7949671073688718
2021-03,Subversive,12.47438044206296,99.63208799071185
2021-03,WebTools,7.756998880179172,0.0020884301945325793
2021-03,Window Builder,13.060503693938644,8.892416594257291
2021-06,BIRT,9.897197276547688,0.000661182418677905
2021-06,CDT,10.002356267672008,59.502182659266545
2021-06,CVS,9.659443471962335,32.68339579410607
2021-06,DataTools,9.937994535713019,63.642329539048895
2021-06,EclipseLink,9.033805078448623,81.91894240216999
2021-06,EGit,12.548982060068534,73.6158810140381
2021-06,EMF,12.660225740306283,87.01371122979677
2021-06,GEF,7.759822960888808,14.863712226762788
2021-06,GMF Runtime,9.105658522886829,47.5220637197149
2021-06,JDT,19.535151999790255,52.140304516937995
2021-06,m2e,8.663802493041269,80.93907678686627
2021-06,Mylyn,8.6905918330635,43.44837125002388
2021-06,PDE,10.131744112397074,99.15793883644794
2021-06,PTP,8.369786777524475,0.03358143444659626
2021-06,RAP,8.783590412659667,73.03888045939753
2021-06,Scout,7.199828259604997,3.1801463855741035
2021-06,Subversive,12.475720026791695,99.710454696343
2021-06,WebTools,7.7569733011520565,0.0
2021-06,Window Builder,13.060503693938644,8.892416594257291
2021-09,BIRT,9.8975784558584,0.012265734407347642
2021-09,CDT,10.002568795555984,59.582539124236455
